1,"schoolshare","Marktplatz Freigabe","Marktplatz: Schulweite Freigabe","profile","set samba/share/marktplatz/usergroup/@%@usergroup@%@/invalid=@%@option-int2bool-invert:schoolshare@%@","unset samba/share/marktplatz/usergroup/@%@usergroup@%@/invalid","/etc/init.d/samba reload || /etc/init.d/samba4 reload","/etc/init.d/samba reload || /etc/init.d/samba4 reload"
2,"classshare","Klassenfreigabe","Freigabe für die Klasse","profile","set samba/share/@%@usergroup@%@/usergroup/@%@usergroup@%@/invalid=@%@option-int2bool-invert:classshare@%@","unset samba/share/@%@usergroup@%@/usergroup/@%@usergroup@%@/invalid","/etc/init.d/samba reload || /etc/init.d/samba4 reload","/etc/init.d/samba reload || /etc/init.d/samba4 reload"
3,"extrashares","Andere Freigaben","Andere Freigaben als Klassenfreigabe und Markplatz","profile","set samba/othershares/usergroup/@%@usergroup@%@/invalid=@%@option-int2bool-invert:extrashares@%@","unset samba/othershares/usergroup/@%@usergroup@%@/invalid","/etc/init.d/samba reload || /etc/init.d/samba4 reload","/etc/init.d/samba reload || /etc/init.d/samba4 reload"
4,"internetfilter","Internet-Filter","Während der Reservierung für die Gruppe gültige Internet-Konfiguration","profile","set proxy/filter/groupdefault/@%@usergroup@%@=@%@option:internetfilter@%@","unset proxy/filter/groupdefault/@%@usergroup@%@","",""
5,"printmode","Druckmodus","Während der Reservierung für die Gruppe gültiger Druckmodus","reservation","set samba/printmode/usergroup/@%@usergroup@%@=@%@option:printmode@%@","unset samba/printmode/usergroup/@%@usergroup@%@","/etc/init.d/samba reload || /etc/init.d/samba4 reload","/etc/init.d/samba reload || /etc/init.d/samba4 reload"
6,"distributionID","Auftragsnummer Unterrichtsmaterialien","Auftragsnummer der für die Gruppe zu kopierenden Unterrichtsmaterialien","reservation","","","/usr/lib/ucs-school-umc-distribution/umc-distribution --distribute /var/lib/ucs-school-umc-distribution/@%@option:distributionID@%@","/usr/lib/ucs-school-umc-distribution/umc-distribution --collect /var/lib/ucs-school-umc-distribution/@%@option:distributionID@%@"
7,"homeshare","Heimatverzeichnisfreigabe","Zugriff auf das eigene Heimatverzeichnis","profile","set samba/share/homes/usergroup/@%@usergroup@%@/invalid=@%@option-int2bool-invert:homeshare@%@","unset samba/share/homes/usergroup/@%@usergroup@%@/invalid","/etc/init.d/samba reload || /etc/init.d/samba4 reload","/etc/init.d/samba reload || /etc/init.d/samba4 reload"
